# Agências do Banco Regional de Fomento S.A. (BRF)
# Fonte: Banco Central do Brasil — API Informes_Agencias (ODbL)
# URL: https://olinda.bcb.gov.br/olinda/servico/Informes_Agencias/versao/v1
# Atualizado em: 05/04/2026 | Total: 300 agências
# CNPJ BRF: 07.237.373/0001-20 | Código COMPE: 004
#
codigo,nome,municipio,uf,cep,endereco,bairro,ddd,telefone
57,Valenca Do Piaui,Valenca Do Piaui,PI,64300-000,"Rua Epaminondas Nogueira, 473",Centro,89,34651325
64,Rio De Janeiro,Rio De Janeiro,RJ,20040-004,"Rio Branco, 89",Centro,21,32215900
115,Acu,Acu,RN,59650-000,Praça Pedro Velho,Centro,84,33319400
4,Angicos,Angicos,RN,59515-000,Rua Vereador Joaquim Bernardo,Centro,84,35314800
112,Apodi,Apodi,RN,59700-000,Marechal Floriano Peixoto,Centro,84,33336300
101,Caico,Caico,RN,59300-000,Av. Cel. Martiniano,Centro,84,34177750
236,Ceara- Mirim,Ceara-Mirim,RN,59570-000,"R Heraclito Villar, Sn",Centro,84,32748601
100,Currais Novos,Currais Novos,RN,59380-000,Av. Dr Silvio Bezerra De Melo,Centro,84,34051050
329,Goianinha,Goianinha,RN,59173-000,Rua Vigário Antonio Montenegro,Centro,84,33433048
26,Jardim Do Serido,Jardim Do Serido,RN,59343-000,Rua Dr. Otavio Lamartine,Centro,84,34722261
301,Joao Camara,Joao Camara,RN,59550-000,Rua Maria De Fatima Rafael De Freitas,Centro,84,32622271
258,Macaiba,Macaiba,RN,59280-000,Rua Nossa Senhora Aparecida Ii,Centro,84,32715333
87,Macau,Macau,RN,59500-000,Rua Martins Ferreira,Centro,84,35211228
33,Mossoro,Mossoro,RN,59600-115,Praca Getulio Vargas,Centro,84,33163023
183,Natal Prudente De Morais,Natal,RN,59056-200,Av. Prudente De Morais,Lagoa Nova,84,32134074
248,Natal Roberto Freire,Natal,RN,59082-095,Av  Engenheiro Roberto Freire,Capim Macio,84,36424104
35,Natal Tirol,Natal,RN,59020-505,Av Prudente De Morais,Cidade Alta,84,32201700
2150,Parnamirim - Rn,Parnamirim,RN,59140-020,Av. Tenente Medeiros,Centro,84,36447800
39,Pau Dos Ferros,Pau Dos Ferros,RN,59900-000,Praca Da Matriz,Centro,84,33512111
47,Santa Cruz,Santa Cruz,RN,59200-000,"Rua Manoel Cicero De Lima, 95",Centro,84,32912118
61,Santo Antonio,Santo Antonio,RN,59255-000,"Av. Lindolfo Gomes Vidal, 360",Centro,84,32822232
266,São Gonçalo Do Amarante,Sao Goncalo Do Amarante,RN,59290-000,R Benedito Santana,Gancho Do Igapo,84,32785600
269,Umarizal,Umarizal,RN,59865-000,Rua Porcino Costa,Centro,84,99650014
5,Aracaju Centro,Aracaju,SE,49010-190,Rua Itabaianinha,Centro,79,32165600
235,Aracaju Jardins,Aracaju,SE,49025-330,Av Jorge Amado,Jardins,79,31942500
180,Aracaju Siqueira Campos,Aracaju,SE,49075-370,Rua Mariano Salmeron,Siqueira Campos,79,32163300
155,Boquim,Boquim,SE,49360-000,Av. Simpliciano Fernandes Da Fonseca,Centro,79,36454000
11,Carira,Carira,SE,49550-000,Praca Olimpio Rabelo De Morais,Centro,79,34451218
129,Estancia,Estancia,SE,49200-000,Praca Orlando Gomes Dos Santos,Centro,79,35222626
18,Gararu,Gararu,SE,49830-000,Praça Rio Branco,Centro,79,33541260
116,Itabaiana,Itabaiana,SE,49500-000,Rua Francisco Santos,Centro,79,34313020
146,Lagarto,Lagarto,SE,49400-000,Praca Da Piedade,Centro,79,36313126
161,Laranjeiras,Laranjeiras,SE,49170-000,Rua Getulio Vargas,Centro,79,32811146
171,Neopolis,Neopolis,SE,49980-000,Rua Batista Gomes,Centro,79,33441395
134,Nossa Senhora Da Gloria,Nossa Senhora Da Gloria,SE,49680-000,Praca Filemon Bezerra Lemos,Centro,79,34111364
78,Nossa Senhora Das Dores,Nossa Senhora Das Dores,SE,49600-000,Praca Mal Deodoro Da Fonseca,Centro,79,32651280
257,Nossa Senhora Do Socorro,Nossa Senhora Do Socorro,SE,49160-000,Av Coletora A,Joao Alves Filho,79,88192431
69,Propria,Propria,SE,49900-000,"Av. Augusto Maynard, 167",Centro,79,3221280
51,Simao Dias,Simao Dias,SE,49480-000,"Rua Felisberto Prata, 214",Centro,79,36111341
98,Tobias Barreto,Tobias Barreto,SE,49300-000,"Av. 7 De Junho, 618",Centro,79,35411401
71,Sao Paulo,Sao Paulo,SP,01310-000,"Av.Paulista,460 -Ed.Pedro Biagi",Bela Vista,11,32531611
