# Agências do Banco Regional de Fomento S.A. (BRF)
# Fonte: Banco Central do Brasil — API Informes_Agencias (ODbL)
# URL: https://olinda.bcb.gov.br/olinda/servico/Informes_Agencias/versao/v1
# Atualizado em: 05/04/2026 | Total: 300 agências
# CNPJ BRF: 07.237.373/0001-20 | Código COMPE: 004
#
codigo,nome,municipio,uf,cep,endereco,bairro,ddd,telefone
181,Salvador Barra,Salvador,BA,40140-230,"Rua Almirante J. Marques De Leao, 41",Barra,71,32642507
46,Salvador Comércio,Salvador,BA,40010-020,"Av. Estados Unidos, 346",Centro,71,32546400
187,Salvador Costa Azul,Salvador,BA,41760-000,Rua Arthur De Azevedo Machado,Costa Azul,71,34027500
249,Salvador Tancredo Neves,Salvador,BA,41820-020,Av Tancredo Neves,Caminho Das  Árvores,71,33414044
262,Santo Amaro,Santo Amaro,BA,44200-000,Av. Imperador,Centro,75,32172500
126,Santo Antonio De Jesus,Santo Antonio De Jesus,BA,44571-355,"Rua Gorgonio Jose De Araujo, 93",Centro,75,36313655
243,Seabra,Seabra,BA,46900-000,R Pio Xii,Centro,75,33313700
104,Senhor Do Bonfim,Senhor Do Bonfim,BA,48970-000,"Praca Dr. Jose Goncalves, 224",Centro,74,35413122
302,Serrinha,Serrinha,BA,48700-000,Pc Luiz Nogueira,Centro,75,32612796
90,Simões Filho,Simoes Filho,BA,43700-000,"Centro Ind. De Aratu, Q 2,Lte 1",Centro Indl Aratu,71,33941022
121,Sta Maria Da Vitoria,Santa Maria Da Vitoria,BA,47640-000,"Praca Da Bandeira, 82",Centro,77,34831226
173,Teixeira De Freitas,Teixeira De Freitas,BA,45985-158,"Av. Marechal Castelo Branco, 698",Centro,73,32915777
289,Tucano,Tucano,BA,48790-000,Rua 7 De Setembro,Centro,75,32721548
212,Valenca,Valenca,BA,45400-000,"Rua Barão De Jequiriçá, 253",Centro,75,36412589
73,Vitoria Da Conquista,Vitoria Da Conquista,BA,45020-902,"Praca Barao Do Rio Branco, 106",Centro,77,34245233
287,Xique-Xique,Xique-Xique,BA,47400-000,Rua Cel Gustavo Costa,Centro,74,36615263
264,Acarau,Acarau,CE,62580-000,Rua Expedito Farias,Centro,88,36617200
230,Acopiara,Acopiara,CE,63560-000,R Francisco Gurgel Valente,Centro,88,35650053
317,Aquiraz,Aquiraz,CE,61700-000,Rua Pedro Brasil,Centro,85,33621400
145,Aracati,Aracati,CE,62800-029,Rua Coronel Alexandrino,Centro,88,34219300
231,Barbalha,Barbalha,CE,63091-000,Av. Coronel João Coelho,Rosário,88,35327250
88,Baturite,Baturite,CE,62760-000,Av. 7 De Setembro,Centro,85,33479200
153,Boa Viagem,Boa Viagem,CE,63870-000,Rua São Vicente De Paulo,Centro,88,34275050
114,Brejo Santo,Brejo Santo,CE,63260-000,Rua Jose Matias Sampaio,Centro,88,35318400
10,Campos Sales,Campos Sales,CE,63150-000,Rua Julio Noroes,Centro,88,35334250
62,Caninde,Caninde,CE,62700-000,Praca Tomaz Barbosa,Centro,85,33439200
8,Cascavel,Cascavel,CE,62850-000,Avenida Prefeito Vitoriano Antunes,Centro,85,33349300
218,Caucaia,Caucaia,CE,61600-090,Rua 15 De Novembro,Centro,85,33877600
89,Crateus,Crateus,CE,63700-079,Rua D. Pedro Ii,Centro,88,36919100
124,Crato,Crato,CE,63100-045,Rua Cel Luis Teixeira,Centro,88,35219300
313,Eusébio,Eusebio,CE,61760-051,Av. Eusébio De Queiroz,Centro,85,32606550
152,Fortaleza Aldeota,Fortaleza,CE,60150-161,Av. Santos Dumont,Aldeota,85,34624200
182,Fortaleza Bezerra De Menezes,Fortaleza,CE,60325-003,Av. Bezerra De Menezes,Parquelandia,85,32886900
16,Fortaleza Centro,Fortaleza,CE,60025-100,Rua Major Facundo,Centro,85,34643100
318,Fortaleza Maraponga,Fortaleza,CE,60711-945,Av. Godofredo Maciel,Mondubim,85,34994600
189,Fortaleza Montese,Fortaleza,CE,60410-357,Av. Professor Gomes De Mattos,Parreao,85,34553100
300,Fortaleza Passare,Fortaleza,CE,60743-762,Avenida Dr. Silas Munguba,Passaré,85,32995400
228,Fortaleza Washington Soares,Fortaleza,CE,60833-005,Av Washington Soares,Sapiranga,85,32703900
105,Granja,Granja,CE,62430-000,Rua Conrado Porto,Centro,88,36240500
267,Horizonte,Horizonte,CE,62880-384,Av. Pres. Castelo Branco,Centro,85,33369200
21,Iguatu,Iguatu,CE,63500-063,Av. Agenor Araujo,Centro,88,35101100
298,Itapage,Itapage,CE,62600-000,"Pç Vicente Porfirio Sampaio, Sn",Centro,85,98377111
119,Itapipoca,Itapipoca,CE,62500-000,Rua Oswaldo Cruz,Centro,88,36311003
24,Jaguaribe,Jaguaribe,CE,63475-000,Praca Tenente Barreira,Centro,88,35221277
29,Juazeiro Do Norte,Juazeiro Do Norte,CE,63010-010,Rua Sao Pedro,Centro,88,35123077
72,Lavras Da Mangabeira,Lavras Da Mangabeira,CE,63300-000,"Praca Mal Humberto A Castelo Branco, 2",Centro,88,35361076
30,Limoeiro Do Norte,Limoeiro Do Norte,CE,62930-000,Travessa Pedro Alves De Freitas,Centro,88,34234166
186,Maracanaú,Maracanau,CE,61900-150,Rua João De Alencar,Centro,85,32999700
265,Maranguape,Maranguape,CE,61942-460,Rua Capitão Jeova Colares,Centro,85,33413439
113,Mombaca,Mombaca,CE,63610-000,Rua Antonio Jaime Benevides,Centro,88,35831114
36,Nova Russas,Nova Russas,CE,62200-000,Rua Pe.Francisco Rosa,Centro,88,36721222
227,Pacajus,Pacajus,CE,62870-000,R Conego Eduardo Araripe,Centro,85,35323450
135,Quixada,Quixada,CE,63900-153,"Rua Pascoal Crispino,215",Centro,88,34120113
43,Quixeramobim,Quixeramobim,CE,63800-000,"Rua Capitao Raimundo, 32",Centro,88,34411007
305,Russas,Russas,CE,62900-000,Av Dom Lino,Centro,86,34112316
292,Santa Quiteria,Santa Quiteria,CE,62280-000,Rua Cel Manoel Alves,Centro,88,36280162
48,Sao Benedito,Sao Benedito,CE,62370-000,"Praca 25 De Novembro, 492",Centro,88,36262125
52,Sobral,Sobral,CE,62011-040,Rua Cel Jose Saboia,Centro,88,36777100
55,Taua,Taua,CE,63660-000,"Rua Coronel Lourenço Feitosa, 10",Centro,88,34371107
133,Tiangua,Tiangua,CE,62320-000,"Rua Deputado Manoel Francisco,453",Centro,88,36711673
268,Vicosa Do Ceara,Vicosa Do Ceara,CE,62300-000,Pc Marechal Bezerril,Centro,88,36321987
198,Colatina,Colatina,ES,29702-030,Rua Moacyr Ávidos,Vila Nova,27,37701200
200,Linhares,Linhares,ES,29900-022,Av. João Felipe Calmon,Centro,27,33713673
219,Nova Venécia,Nova Venecia,ES,29830-000,Praca Jones Dos Santos Neves,Centro,27,37523011
345,Pinheiros,Pinheiros,ES,29980-000,Av Agenor Luiz Heringer,Centro,27,988926449
220,São Mateus,Sao Mateus,ES,29930-440,Av. Jones Dos Santos Neves,Sernamby,27,37632288
166,Acailandia,Acailandia,MA,65930-000,Av. Dorgival Pinheiro De Souza,Centro,99,35381180
106,Bacabal,Bacabal,MA,65700-000,Rua Barao De Capanema,Centro,99,36211115
